7290	214	12550
13864	4	9924
7419	11	5963
4501	2	4837
4807	173	6432
13977	102	8258
6168	116	3061
13511	42	3554
7574	77	5029
5494	148	12962
3150	166	1685
3128	39	500
6046	34	10049
4283	9	7820
14163	110	2134
11034	233	1142
12506	30	6513
10298	118	12982
4063	9	12860
8297	31	8862
4492	2	7815
1268	182	6016
13034	105	4342
4292	4	13438
5297	9	8192
6188	55	199
12689	31	8440
12801	105	431
8261	172	11561
6031	125	6877
3884	133	3097
5416	75	1442
42	215	778
446	225	6836
3076	59	8051
1645	126	2666
13959	59	1486
9753	31	14210
1933	2	10700
5450	10	993
12229	147	6226
14438	4	9547
6575	114	5604
12873	79	3314
5424	187	9137
8526	70	8379
2340	84	1547
11678	59	10371
2516	133	2571
1791	95	912
13383	2	5728
794	213	11431
11118	129	5719
11783	150	656
11772	87	1669
5016	11	14332
8070	9	14025
10371	5	7133
5904	208	4674
13326	145	9601
14068	111	11296
1223	2	10271
12005	215	12606
5824	40	5136
1940	186	12571
11924	114	1704
12010	221	1196
8139	215	4230
5293	224	3196
9555	61	5314
1023	52	12555
10580	113	7149
2516	160	13295
8126	48	6765
13596	44	9998
510	233	8683
471	179	4573
14174	210	1489
12756	4	8350
2366	145	3203
13285	180	5481
1507	196	13398
13158	109	6991
8104	50	977
2760	121	4598
10819	166	474
7542	173	1221
12700	58	9732
1985	191	3948
6736	128	11720
11151	179	3491
3119	233	5213
8739	81	14436
8199	120	3428
1236	60	6699
9577	108	3490
12675	232	5029
11	129	14037
10002	155	2147
13197	168	899
8486	215	3741
5498	215	3329
1286	75	10950
8156	228	8188
4539	125	5274
5710	198	8656
5027	125	6515
9065	10	9559
14450	141	13958
6496	225	10136
1790	59	14287
14248	84	5839
6364	13	1379
887	21	14182
4221	229	12438
8838	128	3398
3504	5	7363
11474	125	6251
7716	46	9136
4637	82	12402
1926	164	10611
784	121	10547
418	50	9713
7490	7	14473
10110	234	14287
643	222	13665
7536	88	3152
407	108	413
132	111	10709
10955	56	523
6635	67	5115
4396	22	5518
2487	75	13442
8187	10	5678
7113	89	4997
9643	110	4393
2641	166	5553
4994	68	8429
10896	176	5166
9288	164	8787
11571	82	14395
14407	80	10761
12226	54	7140
165	215	1237
1442	166	10566
10248	75	2576
10598	155	10049
13306	110	7161
3569	229	6189
12879	113	9958
10909	75	3670
8188	46	10829
3743	12	8841
531	133	1468
13150	114	6665
5080	11	5501
10188	49	13691
11952	182	6344
3054	198	10100
9421	184	14248
93	48	2211
4305	193	4077
9905	186	12610
7187	20	8077
13569	117	762
1856	30	6251
9287	118	13695
12857	140	8994
2263	129	6065
3193	50	4833
5205	62	14256
8400	111	9129
4660	10	1513
11932	215	7262
7114	11	1323
9651	54	4792
12242	215	12749
13302	111	14195
9836	232	13497
7819	204	13973
4754	32	13573
2156	4	2104
10060	232	4376
14246	135	222
33	121	2984
13412	60	11326
3147	229	11772
2530	11	11354
3439	122	4679
12209	65	7797
12801	11	8874
5868	86	7667
12647	29	5029
14494	155	5327
993	126	11051
13613	225	8889
4109	125	4090
5500	2	644
10782	120	3081
1015	54	77
11112	150	869
2505	160	3255
9227	133	583
7663	5	218
3638	172	11865
9676	41	661
595	151	6548
13788	203	14037
820	9	1386
13832	108	11238
2480	224	8099
4394	21	13975
2100	125	14132
2250	59	14095
1404	104	2144
7392	110	4372
8123	107	9865
9734	49	4021
3671	228	3232
4867	224	5784
1916	31	6326
8942	230	7377
1671	59	2981
12424	79	10736
11539	203	1351
1590	173	10842
6317	137	1133
10592	219	2191
5774	54	8231
13000	4	12600
6363	172	13565
4198	233	14037
12989	17	9768
6182	194	2811
8174	75	3229
10239	58	11683
13056	168	6765
1954	199	9210
13972	195	10356
1548	32	5973
992	63	6795
5574	143	3565
5894	44	5029
4010	166	3226
14143	11	3153
1868	30	13150
3355	215	12715
13428	113	5839
12697	193	83
12797	225	8159
10963	45	13797
11488	143	14243
10060	198	10213
11159	22	10566
4471	4	13819
10845	6	866
2655	72	5245
1773	109	6878
6096	58	2354
3077	173	6765
6794	34	12753
8023	75	13927
11072	147	13039
14262	155	12988
6758	134	11118
8214	2	13398
8096	80	4767
3291	133	8276
11948	59	3097
3715	215	7112
8918	56	4895
6333	61	13997
2023	167	10788
9842	201	8034
291	121	11898
11677	4	11784
8029	80	1436
13074	50	4908
2341	211	8015
12185	226	5475
811	80	9529
12868	39	621
462	111	8762
10457	59	1114
9032	215	4523
10272	12	12856
11264	60	11166
10956	225	9575
5242	131	6148
5082	205	13703
12010	31	198
6478	213	11306
13448	151	6549
4632	34	1661
5784	187	8009
7415	39	5813
7127	75	13194
12240	2	6134
3934	194	8284
12534	176	4447
8173	204	13232
14438	17	11784
209	59	2479
12478	54	10340
10856	11	7261
8105	108	10251
11052	22	5962
1926	187	2344
1775	176	12459
13040	10	7406
2292	111	14449
14119	75	7047
12998	165	13495
10158	155	6358
13433	215	10383
12617	186	2133
7219	48	7533
13378	125	2736
5239	75	12188
8495	2	6431
7124	55	12986
11345	229	13968
4645	56	6346
4437	186	2997
3550	129	1820
1764	215	1255
8190	176	13853
14304	174	12950
12288	11	4423
12486	233	2968
1902	27	6966
8035	40	9587
2750	118	634
10828	166	4487
7502	203	5245
4049	123	4617
8993	87	4470
3191	4	2029
8139	48	2029
7249	190	1527
11602	108	11074
2563	111	1820
9766	59	1519
3551	49	23
5406	121	10273
11377	53	13359
1306	196	7405
4894	125	9119
10981	31	8579
3668	88	8671
2361	21	3125
10954	125	8989
3949	151	3975
8963	148	11777
9233	168	2766
8610	187	12391
8910	199	7544
9039	61	8759
1692	215	13954
8145	87	10739
5494	140	5245
8989	11	8549
12545	204	12347
12144	82	7223
6886	100	13704
1709	7	6100
4784	208	4836
8214	75	3972
2034	128	8134
4753	2	6831
4893	227	109
2100	88	12837
3899	194	912
6649	11	6774
12615	88	2843
3569	93	3347
14306	2	3051
11328	22	9514
5556	75	320
5159	215	3980
4408	215	7242
7522	197	9113
9087	22	12602
10791	4	8631
5574	160	854
11433	195	1938
11339	174	4686
3602	35	14174
13800	107	8995
9752	43	3315
10669	223	5245
11915	215	7764
710	55	4313
6363	87	8565
10723	31	9010
6457	2	12959
2349	1	3344
8429	198	1070
9981	125	9016
1521	22	12716
9007	88	715
5485	132	9332
10754	140	13903
3055	216	9184
8278	111	2044
7210	200	13019
3382	62	526
7901	215	11306
1922	9	9293
14216	31	10604
9606	121	14335
9185	135	10540
4156	117	11206
1045	205	6154
12586	107	7124
8882	14	528
1221	174	5038
10733	3	2614
1718	215	2072
8957	120	8740
13732	199	10075
9118	17	1186
5460	147	8278
4042	17	7459
8283	125	13049
10022	10	5029
9034	55	573
145	101	6285
13123	20	13123
8621	176	4777
8446	108	12744
6497	1	1893
5904	92	5753
10112	145	7561
8291	186	8053
8232	9	2862
8817	86	12993
568	2	282
12605	125	8223
7866	54	7690
11122	11	6801
3376	124	2089
9751	153	8555
6400	216	562
5445	143	12668
10175	105	3385
10161	119	10514
9413	174	10561
7294	108	7642
11635	53	4451
10483	227	3149
12849	75	1164
5310	49	11384
14356	148	11203
2483	126	10226
4450	142	11734
1868	29	7232
12813	176	11929
13143	59	6165
7041	59	9814
4106	59	12508
8064	155	13292
12121	173	7544
12546	156	3691
8942	142	1332
1483	191	8083
7915	122	1414
4403	99	8339
536	26	10544
14450	215	3937
3659	97	4864
14256	75	5742
3944	46	2149
12824	141	13667
3590	31	3580
4190	45	12433
4469	96	3762
5004	233	735
10060	193	12990
10611	105	12663
11954	31	1488
3262	110	3319
9178	75	13455
8884	75	1613
2050	236	10818
7763	57	2036
1540	141	1890
6334	129	8433
12337	152	13094
5622	78	9034
2981	2	3284
2837	59	4242
9013	10	1445
9132	133	5341
2776	128	12643
10537	170	1035
6952	166	13375
9753	129	12043
1499	161	1823
8473	42	6747
12713	62	3562
980	180	10446
